Tool,Training_Benign,Training_Attack,Training_Total,Validation_Benign,Validation_Attack,Validation_Total,Test_Benign,Test_Attack,Test_Total
check_file_exists,16,16,32,5,5,10,39,7,46
check_url,23,23,46,7,7,14,59,9,68
convert_time,21,21,42,7,7,14,101,7,108
create_entity,21,21,42,7,7,14,123,7,130
create_relation,9,9,18,3,3,6,6,4,10
delete_entity,8,8,16,2,2,4,8,4,12
describe_table,12,12,24,4,4,8,12,4,16
deserialize_data,6,6,12,2,2,4,59,3,62
execute_command,10,10,20,3,3,6,5,8,13
fetch_html,23,23,46,7,7,14,47,9,56
fetch_url,43,43,86,14,14,28,177,15,192
get_current_time,24,24,48,8,8,16,22,9,31
get_entity,10,10,20,3,3,6,70,5,75
get_file_info,17,17,34,5,5,10,40,7,47
get_relations,7,7,14,2,2,4,54,4,58
graphql_query,7,7,14,2,2,4,64,4,68
ldap_query,8,8,16,2,2,4,59,4,63
list_directory,34,34,68,11,11,22,91,12,103
list_entities,7,7,14,2,2,4,5,3,8
list_tables,14,14,28,4,4,8,9,6,15
parse_xml,7,7,14,2,2,4,57,4,61
read_file,62,62,124,20,20,40,229,22,251
read_query,66,66,132,22,22,44,154,23,177
redis_command,7,7,14,2,2,4,64,4,68
render_template,7,7,14,2,2,4,58,4,62
run_script,7,7,14,2,2,4,3,8,11
s3_operation,7,7,14,2,2,4,59,4,63
search_entities,15,15,30,5,5,10,7,5,12
send_webhook,7,7,14,2,2,4,58,3,61
verify_jwt,6,6,12,2,2,4,55,3,58
write_file,39,39,78,13,13,26,189,13,202
write_query,43,43,86,14,14,28,105,16,121
