tool,class,embedding_dim,n_samples,mean_dist,std_dist,max_dist
check_file_exists,benign,774,16,0.016225945204496384,0.006835201755166054,0.0289461612701416
check_file_exists,attack,774,16,0.05661274120211601,0.04824886471033096,0.17933791875839233
check_url,benign,774,23,0.022437676787376404,0.02644994854927063,0.10641515254974365
check_url,attack,774,23,0.028794366866350174,0.012059963308274746,0.06807297468185425
convert_time,benign,774,21,0.015235554426908493,0.016096649691462517,0.05036497116088867
convert_time,attack,774,21,0.03964143246412277,0.01594000868499279,0.06908577680587769
create_entity,benign,774,21,0.017143303528428078,0.005844888277351856,0.03357058763504028
create_entity,attack,774,21,0.023383649066090584,0.00775592215359211,0.04226714372634888
create_relation,benign,774,9,0.008999262005090714,0.00276125967502594,0.014064013957977295
create_relation,attack,774,9,0.012282881885766983,0.007164682727307081,0.028877854347229004
delete_entity,benign,774,8,0.027474835515022278,0.0037252113688737154,0.032602548599243164
delete_entity,attack,774,8,0.032573357224464417,0.014813190326094627,0.06757187843322754
describe_table,benign,774,12,0.10005077719688416,0.1704578697681427,0.48369425535202026
describe_table,attack,774,12,0.019998794421553612,0.0090437401086092,0.0409315824508667
deserialize_data,benign,774,6,0.004250198602676392,0.004845093470066786,0.013553440570831299
deserialize_data,attack,774,6,0.05503879860043526,0.02171982079744339,0.08679342269897461
execute_command,benign,774,10,0.014332050457596779,0.004972378723323345,0.025221705436706543
execute_command,attack,774,10,0.03170473128557205,0.01633461005985737,0.06037914752960205
fetch_html,benign,774,23,0.0475534051656723,0.015774279832839966,0.09829753637313843
fetch_html,attack,774,23,0.03150765970349312,0.011572359129786491,0.058127760887145996
fetch_url,benign,774,43,0.028553247451782227,0.018695177510380745,0.06734108924865723
fetch_url,attack,774,43,0.0291624516248703,0.012314535677433014,0.07045328617095947
get_current_time,benign,774,24,0.07876350730657578,0.11319123953580856,0.45583903789520264
get_current_time,attack,774,24,0.04928779974579811,0.023659132421016693,0.11409503221511841
get_entity,benign,774,10,0.02021188661456108,0.022793283686041832,0.07872217893600464
get_entity,attack,774,10,0.039105385541915894,0.018677113577723503,0.07736694812774658
get_file_info,benign,774,17,0.015829725190997124,0.008540729060769081,0.04676163196563721
get_file_info,attack,774,17,0.06339897960424423,0.0370384082198143,0.17622989416122437
get_relations,benign,774,7,0.003211770672351122,0.0009444050956517458,0.004494667053222656
get_relations,attack,774,7,0.01746770367026329,0.0075380029156804085,0.032257258892059326
graphql_query,benign,774,7,0.008569343015551567,0.007454215548932552,0.022726476192474365
graphql_query,attack,774,7,0.019489500671625137,0.007105549331754446,0.028471648693084717
ldap_query,benign,774,8,0.009908437728881836,0.006665715482085943,0.022554457187652588
ldap_query,attack,774,8,0.011091575026512146,0.0022143498063087463,0.014932870864868164
list_directory,benign,774,34,0.0704847052693367,0.11433371156454086,0.37335073947906494
list_directory,attack,774,34,0.056379448622465134,0.04817431420087814,0.20462632179260254
list_entities,benign,774,7,0.029559152200818062,0.018725646659731865,0.0592920184135437
list_entities,attack,774,7,0.053619664162397385,0.039614319801330566,0.14336663484573364
list_tables,benign,774,14,0.037655431777238846,0.055124979466199875,0.23255538940429688
list_tables,attack,774,14,0.03295290470123291,0.01413640659302473,0.06129699945449829
parse_xml,benign,774,7,0.012263570912182331,0.004904135596007109,0.022925853729248047
parse_xml,attack,774,7,0.02166995033621788,0.011119025759398937,0.04035651683807373
read_file,benign,774,62,0.040336813777685165,0.010492246598005295,0.08105182647705078
read_file,attack,774,62,0.05119900405406952,0.04477742686867714,0.1983157992362976
read_query,benign,774,66,0.02116469480097294,0.012716530822217464,0.06001240015029907
read_query,attack,774,66,0.03909452259540558,0.017780913040041924,0.10441625118255615
redis_command,benign,774,7,0.008715331554412842,0.004950083792209625,0.01904308795928955
redis_command,attack,774,7,0.01922343485057354,0.006752447225153446,0.032905519008636475
render_template,benign,774,7,0.009095413610339165,0.00837488193064928,0.0259019136428833
render_template,attack,774,7,0.02020748145878315,0.008160071447491646,0.03446108102798462
run_script,benign,774,7,0.018160130828619003,0.01003359630703926,0.04010927677154541
run_script,attack,774,7,0.02431666851043701,0.005537399556487799,0.03353738784790039
s3_operation,benign,774,7,0.005842872895300388,0.0039773061871528625,0.013815760612487793
s3_operation,attack,774,7,0.025703327730298042,0.007789527531713247,0.0386049747467041
search_entities,benign,774,15,0.02150210551917553,0.00464694993570447,0.03259134292602539
search_entities,attack,774,15,0.03257296234369278,0.007255850825458765,0.05567806959152222
send_webhook,benign,774,7,0.005313464440405369,0.0028609398286789656,0.009349644184112549
send_webhook,attack,774,7,0.01638157106935978,0.0040187109261751175,0.025097548961639404
verify_jwt,benign,774,6,0.0033269524574279785,0.0016917039174586535,0.005948960781097412
verify_jwt,attack,774,6,0.014996866695582867,0.005997813306748867,0.024276375770568848
write_file,benign,774,39,0.0418061725795269,0.016250599175691605,0.07563948631286621
write_file,attack,774,39,0.05040103942155838,0.036622144281864166,0.19001853466033936
write_query,benign,774,43,0.01790209487080574,0.008072052150964737,0.041910409927368164
write_query,attack,774,43,0.03574284166097641,0.012347985059022903,0.06591284275054932
